FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,resultfile
solutions,http://10.10.10.220:5080/solutions,http://10.10.10.220:5080/users/sign_in,218,302,104,5,1,
News,http://10.10.10.220:5080/News,http://10.10.10.220:5080/users/sign_in,220,302,104,5,1,
signup,http://10.10.10.220:5080/signup,http://10.10.10.220:5080/users/sign_in,217,302,104,5,1,
de,http://10.10.10.220:5080/de,http://10.10.10.220:5080/users/sign_in,223,302,104,5,1,
shop,http://10.10.10.220:5080/shop,http://10.10.10.220:5080/users/sign_in,226,302,104,5,1,
doc,http://10.10.10.220:5080/doc,http://10.10.10.220:5080/users/sign_in,222,302,104,5,1,
contacts,http://10.10.10.220:5080/contacts,http://10.10.10.220:5080/users/sign_in,227,302,104,5,1,
index2,http://10.10.10.220:5080/index2,http://10.10.10.220:5080/users/sign_in,225,302,104,5,1,
public,http://10.10.10.220:5080/public,,221,200,14782,670,286,
weblog,http://10.10.10.220:5080/weblog,http://10.10.10.220:5080/users/sign_in,224,302,104,5,1,
fr,http://10.10.10.220:5080/fr,http://10.10.10.220:5080/users/sign_in,229,302,104,5,1,
list,http://10.10.10.220:5080/list,http://10.10.10.220:5080/users/sign_in,232,302,104,5,1,
homepage,http://10.10.10.220:5080/homepage,http://10.10.10.220:5080/users/sign_in,228,302,104,5,1,
travel,http://10.10.10.220:5080/travel,http://10.10.10.220:5080/users/sign_in,231,302,104,5,1,
button,http://10.10.10.220:5080/button,http://10.10.10.220:5080/users/sign_in,230,302,104,5,1,
pixel,http://10.10.10.220:5080/pixel,http://10.10.10.220:5080/users/sign_in,233,302,104,5,1,
contact_us,http://10.10.10.220:5080/contact_us,http://10.10.10.220:5080/users/sign_in,239,302,104,5,1,
viewtopic,http://10.10.10.220:5080/viewtopic,http://10.10.10.220:5080/users/sign_in,234,302,104,5,1,
documents,http://10.10.10.220:5080/documents,http://10.10.10.220:5080/users/sign_in,235,302,104,5,1,
tips,http://10.10.10.220:5080/tips,http://10.10.10.220:5080/users/sign_in,237,302,104,5,1,
adclick,http://10.10.10.220:5080/adclick,http://10.10.10.220:5080/users/sign_in,238,302,104,5,1,
overview,http://10.10.10.220:5080/overview,http://10.10.10.220:5080/users/sign_in,236,302,104,5,1,
movies,http://10.10.10.220:5080/movies,http://10.10.10.220:5080/users/sign_in,240,302,104,5,1,
us,http://10.10.10.220:5080/us,http://10.10.10.220:5080/users/sign_in,243,302,104,5,1,
wp-content,http://10.10.10.220:5080/wp-content,http://10.10.10.220:5080/users/sign_in,241,302,104,5,1,
catalog,http://10.10.10.220:5080/catalog,http://10.10.10.220:5080/users/sign_in,242,302,104,5,1,
hardware,http://10.10.10.220:5080/hardware,http://10.10.10.220:5080/users/sign_in,246,302,104,5,1,
p,http://10.10.10.220:5080/p,http://10.10.10.220:5080/users/sign_in,244,302,104,5,1,
staff,http://10.10.10.220:5080/staff,http://10.10.10.220:5080/users/sign_in,245,302,104,5,1,
global,http://10.10.10.220:5080/global,http://10.10.10.220:5080/users/sign_in,248,302,104,5,1,
apps,http://10.10.10.220:5080/apps,http://10.10.10.220:5080/users/sign_in,250,302,104,5,1,
wireless,http://10.10.10.220:5080/wireless,http://10.10.10.220:5080/users/sign_in,247,302,104,5,1,
screenshots,http://10.10.10.220:5080/screenshots,http://10.10.10.220:5080/users/sign_in,249,302,104,5,1,
online,http://10.10.10.220:5080/online,http://10.10.10.220:5080/users/sign_in,251,302,104,5,1,
mobile,http://10.10.10.220:5080/mobile,http://10.10.10.220:5080/users/sign_in,254,302,104,5,1,
directory,http://10.10.10.220:5080/directory,http://10.10.10.220:5080/users/sign_in,253,302,104,5,1,
version,http://10.10.10.220:5080/version,http://10.10.10.220:5080/users/sign_in,252,302,104,5,1,
advertising,http://10.10.10.220:5080/advertising,http://10.10.10.220:5080/users/sign_in,256,302,104,5,1,
welcome,http://10.10.10.220:5080/welcome,http://10.10.10.220:5080/users/sign_in,258,302,104,5,1,
